catname,type
100 PROOF VODKA,Vodka
100% Agave Tequila,Tequila
Aged Dark Rum,Rum
AMARETTO - IMPORTED,Other
AMERICAN ALCOHOL,Other
AMERICAN AMARETTO,Other
American Brandies,Other
AMERICAN COCKTAILS,Other
American Cordials & Liqueur,Other
American Cordials & Liqueurs,Other
American Distilled Spirit Specialty,Other
American Distilled Spirits Specialty,Other
AMERICAN DRY GINS,Gin
American Flavored Vodka,Vodka
AMERICAN GRAPE BRANDIES,Other
American Schnapps,Other
AMERICAN SLOE GINS,Gin
American Vodka,Vodka
American Vodkas,Vodka
ANISETTE,Other
APPLE SCHNAPPS,Other
APRICOT BRANDIES,Other
BARBADOS RUM,Rum
BLACKBERRY BRANDIES,Other
Blended Whiskies,Whiskey
BOTTLED IN BOND BOURBON,Whiskey
BUTTERSCOTCH SCHNAPPS,Other
Canadian Whiskies,Whiskey
CHERRY BRANDIES,Other
CINNAMON SCHNAPPS,Other
Cocktails / RTD,Other
Cocktails /RTD,Other
COFFEE LIQUEURS,Other
Corn Whiskies,Whiskey
CREAM LIQUEURS,Other
CREME DE ALMOND,Other
DARK CREME DE CACAO,Other
DECANTERS & SPECIALTY PACKAGES,Other
Delisted Items,Other
DISTILLED SPIRITS SPECIALTY,Other
Flavored Gin,Gin
FLAVORED GINS,Gin
FLAVORED RUM,Rum
Gold Rum,Rum
GRAPE SCHNAPPS,Other
GREEN CREME DE MENTHE,Other
HIGH PROOF BEER - AMERICAN,Other
Holiday VAP,Other
IMPORTED AMARETTO,Other
Imported Brandies,Other
Imported Cordials & Liqueur,Other
Imported Cordials & Liqueurs,Other
Imported Distilled Spirit Specialty,Other
Imported Distilled Spirits Specialty,Other
Imported Dry Gins,Gin
Imported Flavored Vodka,Vodka
IMPORTED GRAPE BRANDIES,Other
IMPORTED SCHNAPPS,Other
IMPORTED VODKA,Vodka
IMPORTED VODKA - CHERRY,Vodka
IMPORTED VODKA - MISC,Vodka
Imported Vodkas,Vodka
Iowa Distilleries,Other
Iowa Distillery Whiskies,Whiskey
Irish Whiskies,Whiskey
JAMAICA RUM,Rum
JAPANESE WHISKY,Whiskey
LOW PROOF VODKA,Vodka
Mezcal,Tequila
MISC. AMERICAN CORDIALS & LIQUEURS,Other
MISC. IMPORTED CORDIALS & LIQUEURS,Other
MISCELLANEOUS  BRANDIES,Other
MISCELLANEOUS SCHNAPPS,Other
Mixto Tequila,Tequila
Neutral Grain Spirits,Other
Neutral Grain Spirits Flavored,Other
OTHER PROOF VODKA,Vodka
PEACH BRANDIES,Other
PEACH SCHNAPPS,Other
PEPPERMINT SCHNAPPS,Other
PUERTO RICO & VIRGIN ISLANDS RUM,Rum
RASPBERRY SCHNAPPS,Other
ROCK & RYE,Whiskey
ROOT BEER SCHNAPPS,Other
SCHNAPPS - IMPORTED,Other
SCOTCH WHISKIES,Whiskey
Single Barrel Bourbon Whiskies,Whiskey
Single Malt Scotch,Whiskey
SPEARMINT SCHNAPPS,Other
Special Order Items,Other
Spiced Rum,Rum
Straight Bourbon Whiskies,Whiskey
STRAIGHT RYE WHISKIES,Whiskey
STRAWBERRY SCHNAPPS,Other
Temporary &  Specialty Packages,Other
Temporary & Specialty Packages,Other
Tennessee Whiskies,Whiskey
TEQUILA,Tequila
TRIPLE SEC,Other
TROPICAL FRUIT SCHNAPPS,Other
VODKA 80 PROOF,Vodka
VODKA FLAVORED,Vodka
WATERMELON SCHNAPPS,Other
Whiskey Liqueur,Whiskey
WHITE CREME DE CACAO,Other
WHITE CREME DE MENTHE,Other
White Rum,Rum
